Sl. No,States /UTs,Name of Fairs and Festival,Sanctioned Amount
1,Mizoram,(i) Anthurium Festival (ii) Winter Festival,50
2,Punjab,(i) Harivallabh Sangeet Sammelan- Jalandhar (ii) Holla-Mohala at Shri Anandpur Sahib,50
3,Telangana,(i) Bathukamma Festivals (ii) Medaram Jatara at Mulugu,50
4,Madhya Pradesh,(i) Jal Mahotsav (ii) Pachmarhi Utsav Pachmarhi (iii) Khajuraho Dance Festival,50
5,Meghalaya,(i) Wangala Dance Festival (ii) Nongkrem Dance Festival,50
6,Chandigarh,(i) Chandigarh Carnival (ii) New Year Extravaganza (iii) 50th Chandigarh Rose Festival,30
7,Nagaland,(i) Hornbill Festival (ii) Angamis Sekrenyi Festival,30
8,Sikkim,(i) Cherry Temi Tea and Tourism Festival Temi Tea Gardens South Sikkim (ii) Khangchendzonga Winter Carnival Festival (iii) Jorethang Maghey Mela,50
9,Uttarakhand,(i) Tehri Lake Festival (ii) International Yoga Festival,50
10,Arunachal Pradesh,(i) Easterly Essence Ledum Festival (ii) Orange Festival of Music and Adventure,50
11,Assam,(i) Bhogali Festival (ii) Rongali Bihu Festival,50
12,Tamil Nadu,Indian Dance Festival,25
13,Puducherry,(i) 27th Yoga Festival at Puducherry (ii) Yanam Peoples Festival (iii) Carnival Festival at Karaikal,30
14,Himachal Pradesh,International Shivratri Fair,25
15,Goa,(i) Carnival Festival (ii) Shigmo Festival,50
16,Haryana,Suraj Kund Mela,30
